sectionName,cityName,sectionLink,edited_sectionLink
Hồ Chí Minh,Thành phố Hồ Chí Minh,https://www.agoda.com/vi-vn/city/ho-chi-minh-city-vn.html,https://www.agoda.com/vi-vn/search?city=13170&ds=zCfzIyG24QtHMqGA
Cần Giờ,Thành phố Hồ Chí Minh,https://www.agoda.com/vi-vn/city/can-gio-vn.html,https://www.agoda.com/vi-vn/search?city=88775
Hà Nội,Thành phố Hà Nội,https://www.agoda.com/vi-vn/city/hanoi-vn.html,https://www.agoda.com/vi-vn/search?city=2758
Gia Lâm,Thành phố Hà Nội,https://www.agoda.com/vi-vn/city/gia-lam-vn.html,https://www.agoda.com/vi-vn/search?city=115695&ds=YwdiCn5iCuO7A%2FrP
Xuân Bảng,Thành phố Hà Nội,https://www.agoda.com/vi-vn/city/xuan-bang-vn.html,https://www.agoda.com/vi-vn/search?city=234333
Hoài Dưc Phủ,Thành phố Hà Nội,https://www.agoda.com/vi-vn/city/hoai-duc-phu-vn.html,https://www.agoda.com/vi-vn/search?city=222717&ds=F3jHIwUYJ%2B8ixyU8
Hạ Họi,Thành phố Hà Nội,https://www.agoda.com/vi-vn/city/ha-hoi-vn.html,https://www.agoda.com/vi-vn/search?city=222377&ds=s6eNTJnl4fcUYxKq
Ðục Khê,Thành phố Hà Nội,https://www.agoda.com/vi-vn/city/duc-khe-vn.html,https://www.agoda.com/vi-vn/search?city=221946&ds=qzG0LrdYhmrDU%2FYc
Phùng Thôn,Thành phố Hà Nội,https://www.agoda.com/vi-vn/city/phung-thon-vn.html,https://www.agoda.com/vi-vn/search?city=228720
Vũng Tàu,Tỉnh Bà Rịa-Vũng Tàu,https://www.agoda.com/vi-vn/city/vung-tau-vn.html,https://www.agoda.com/vi-vn/search?city=17190
Côn Đảo,Tỉnh Bà Rịa-Vũng Tàu,https://www.agoda.com/vi-vn/city/con-o-islands-vn.html,https://www.agoda.com/vi-vn/search?city=105652
Bà Rịa,Tỉnh Bà Rịa-Vũng Tàu,https://www.agoda.com/vi-vn/city/ba-ria-vn.html,https://www.agoda.com/vi-vn/search?city=216927&ds=uD%2FbvMqkhHUghEQ0
Đà Lạt,Tỉnh Lâm Ðồng,https://www.agoda.com/vi-vn/city/dalat-vn.html,https://www.agoda.com/vi-vn/search?city=15932&ds=DGW2x%2FkKeuEVX7KB
Bảo Lộc,Tỉnh Lâm Ðồng,https://www.agoda.com/vi-vn/city/bao-loc-vn.html,https://www.agoda.com/vi-vn/search?city=218905
Khu Chi Lăng,Tỉnh Lâm Ðồng,https://www.agoda.com/vi-vn/city/khu-chi-lang-vn.html,https://www.agoda.com/vi-vn/search?city=223982&ds=nz%2BZn%2FzWgP3aI8zy
